172.24.0.1 - - [20/Aug/2023:15:58:47 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03U\x9E\xE1\x80\x18\xD1\x91\x89\x11\x9Dr\xD5\x82\x870;\x82\x93\xF79c\x22\x98\xDEB\xBBnm\xD1\xD6\xE0\x92 u\xA9\xB4\x96\xFF\xE5\xEC\x8A\x9F\xA0\xDE\xD2\xF8\xB3.\x80y\xDAI1ec\x80\x01.\x04rl\x9B\xB8\xA8\x93\x00 \x8A\x8A\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93::\x00\x00\x00-\x00\x02\x01\x01\x00#\x00\x00\x00\x10\x00\x0E\x00\x0C\x02h2\x08http/1.1\x003\x00+\x00)\xDA\xDA\x00\x01\x00\x00\x1D\x00 \xBA\xF8-B\xDC\xFCp\x08\xAB\x8B\xC77P\xC3\xE5}\xA0t\xB6vE\xDF\xD97\x9F/\xE8\xBC\xA6\xBD~h\xFF\x01\x00\x01\x00Di\x00\x05\x00\x03\x02h2\x00\x0B\x00\x02\x01\x00\x00\x00\x00\x0E\x00\x0C\x00\x00\x09localhost\x00" 400 157 "-" "-" "-"
172.24.0.1 - - [20/Aug/2023:15:58:47 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xE0\xA9\x9D\x99\xDD\x8B\xF8W2y\xDB\xA5Ph0\xACG+.>\x0F\xA8cvl\xE2\xB5$\xC9\xB1\xCA\xB2 \xDE\x19\xAD\x050A7\x9Et\x95F\xE1\x1A\xE4x\xD0)\xA4b\xF6\x8B\x01\xC8\x13Tf<d\x89-\x98\xD8\x00 \xBA\xBA\x13\x01\x13\x02\x13\x03\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x13\xC0\x14\x00\x9C\x00\x9D\x00/\x005\x01\x00\x01\x93jj\x00\x00Di\x00\x05\x00\x03\x02h2\xFF\x01\x00\x01\x00\x00\x1B\x00\x03\x02\x00\x02\x00\x00\x00\x0E\x00\x0C\x00\x00\x09localhost\x00\x0B\x00\x02\x01\x00\x00\x17\x00\x00\x003\x00+\x00)\xDA\xDA\x00\x01\x00\x00\x1D\x00 \x1E\xAB\xD7\x1E" 400 157 "-" "-" "-"
172.24.0.1 - - [20/Aug/2023:15:58:57 +0000] "GET / HTTP/1.1" 301 169 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" "-"
172.24.0.1 - - [20/Aug/2023:16:07:21 +0000] "GET / HTTP/1.1" 500 1054461 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:07:22 +0000] "GET /favicon.ico HTTP/1.1" 200 0 "http://pethsop.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:08:12 +0000] "GET / HTTP/1.1" 500 1054447 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:08:12 +0000] "GET / HTTP/1.1" 500 1054440 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:16:15 +0000] "GET / HTTP/1.1" 500 1054360 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:16:49 +0000] "GET / HTTP/1.1" 500 1054455 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:16:49 +0000] "GET / HTTP/1.1" 500 1054447 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
172.24.0.1 - - [20/Aug/2023:16:16:57 +0000] "GET / HTTP/1.1" 500 1054431 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36"
